iata_code,airport_name,city,hotel_name,price_per_night,rating,reviews,hotel_class,amenities,image_url
DOH,Hamad Airport,Doha,Rixos Gulf Hotel Doha,,4.9,16380.0,5-star hotel,Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Beach access | Bar | Restaurant | Room service | Kitchen in some rooms | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJpfIsT1Rf2TpkB9AsBNXLN4LsQIDUXNYC8oLTaUhzxz5iOO2FASejwmOvA8TA7j4zPkC_sgIvTxCLhqg-ebD4sRIZUHj30n_-gs1avieO91vpD_YecLnZnVxFgTmvPgw3BW8=s287-w287-h192-n-k-no-v1
DOH,Hamad Airport,Doha,Shaza Doha,,4.6,1853.0,5-star hotel,Breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGk7CbsTRpTknEYRU7nZ5MiXRV5jbBr7ByBiDtsLh1474cHy4LMIkdW62megdqplTnSBJKCGMBPHd_oOlIKLbUeGboy594mCw50NhT7z0ft7gGTth5n8MLCbe-UCvwgiJtA8gu1IA=s287-w287-h192-n-k-no-v1
DOH,Hamad Airport,Doha,Crowne Plaza Doha - The Business Park,,4.6,7009.0,5-star hotel,Free Wi‑Fi | Free parking | Outdoor pool | Air conditioning | Pet-friendly | Fitness center | Spa | Bar | Restaurant | Room service | Kitchen in some rooms | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPQXj0mnMKyThwXVLTIRvw1E3SMgEK3VflSHmtkbpLQUGx22U5-s192e1b1sZj2ewm_8bq-kYbDKLkTIc17opNC0Y3IorHcOoGUXt5RD_pu978BwQpIOf1pndNoCTVDMpu8bbl_Q=s287-w287-h192-n-k-no-v1
DOH,Hamad Airport,Doha,Strato Hotel by Warwick,,3.9,1662.0,4-star hotel,Breakfast | Free Wi‑Fi | Free parking | Pool | Air conditioning | Fitness center | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHE483LtK_qSWdsxMCWF5zvrf3n2EyWeVie5JB3JRYg_51r8cMLcVkLg_8KhZXh0nkiTR47H5h0UXwMyazvZUiAMlPy1lqEYt6SX1Mk3o_tLb4Vb00ZSVAgBIxjcidXAMcJhIiB-w=s287-w287-h192-n-k-no-v1
DOH,Hamad Airport,Doha,Mövenpick Doha,,4.6,6204.0,4-star hotel,Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEkWSMQnorh5VL3NeHJl4BLAj-gKPPJ_8kWVQTWT3l-6yDOqp1lJhUugypmCtw-e8AOBlm64U49ZOT0roAczmO8wbjPawUM81cpASE8teAKLdWBR9sWrtfvjW1vrkbu4_BSWSSB=s287-w287-h192-n-k-no-v1
DPS,Ngurah Rai Airport,Bali,Hilton Garden Inn Bali Ngurah Rai Airport,,4.2,4272.0,4-star hotel,Free Wi‑Fi | Free parking | Outdoor pool | Air conditioning | Fitness center | Bar | Restaurant | Room service | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEAcOIwedr97J9FKSUZoxw7LySVw3wX0K0zoJ5zunyV6TG91irQm-kYbKdw8DJtJC7SFOqdTc8iBkPB40DTG4o0kM1hyBHj7OD9tZEn7zrNkMXrXueclFbFheqIAjIPaP6tK_vr5zQQP6uA=s287-w287-h192-n-k-no-v1
DPS,Ngurah Rai Airport,Bali,Novotel Bali Ngurah Rai Airport,,4.6,6551.0,4-star hotel,Free Wi‑Fi | Parking ($) | Outdoor pool | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnP8Ly5quWzhNxmAbD_qRynjlMl_zmbVN7F1f9RG8JLIYJdPgs6gWKmVx0Oi-zedZNGp3dyKKGFRb6IxGJtCBZcBmpA9LPw2K3SAHpO5cLz0ivfQbC6x7EpfXSKD5njlA7Rs5J5A=s287-w287-h192-n-k-no-v1
DPS,Ngurah Rai Airport,Bali,Holiday Inn Express Baruna Bali by IHG,,4.9,10701.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Air conditioning | Fitness center | Spa | Beach access | Restaurant | Room service | Airport shuttle | Accessible | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF3JILIdlaxihhcePRBVCzPOmMWuwm-MDfhjYf_dXP7_ruu8ULat5ZXnSEfubEkT-2PINNzLr_2_k-ztT2cshhVyCPSs5A0E9l5gceXHx0AuxXQUgpvu7vZzIj6M0CWDr1urxDYQw=s287-w287-h192-n-k-no-v1
DPS,Ngurah Rai Airport,Bali,The Patra Bali Resort & Villas,,4.4,3719.0,5-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Beach access | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGwlF2j4W3Ez55Lveabk37eUQrsoflGeomCHpAlY2LmbxlRScLVWjV5fc1smE4bcD_82oTbBtcqmPrDwcqCvevDwVIyN6E8mLhwiani8RYyS-ES-KkSc5pG8TdXNdQcV2hkH8XHQ=s287-w287-h192-n-k-no-v1
DPS,Ngurah Rai Airport,Bali,Aston Kuta Hotel & Residence,,4.6,6138.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Kitchen in some rooms | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZbal5m5a0wKI4bNQLSDaDZ225I36-dDhsaKQfwGEjNARKO4NNOy_RGKm8iL4QmKGE7ZNBCXPvaTDfnu6lndmTWQ-qN4x-Ac4Go7WHAxlPWBU-iVhiBYxTZQLAGEKRpcggm2ZE-cVH4OJx=s287-w287-h192-n-k-no-v1
DPS,Ngurah Rai Airport,Bali,HARRIS Hotel Kuta Tuban - Bali,,4.4,3348.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFG0WmXhTvWrS2B1WRr3pD_3bvjpz99ZSHHmlETV1IHbdC3TyLbk7LxATWFTdxlyuxOG4DSTLvE42sy-qKsLR4JGySBmB-3nBYetUYq2Bk1-NZvpRyYv-93l2Lrqa_6L-INLjzFw=s287-w287-h192-n-k-no-v1
